home_team,away_team,home_team_score,away_team_score
WSH,HOU,9,3
STL,NYM,0,2
DET,TB,5,1
BAL,ATL,5,13
Athletics,ARI,2,5
CLE,SF,2,11
TEX,CIN,4,3
CWS,LAA,1,1
COL,SD,13,2
SEA,KC,6,7
BOS,MIN,6,5
