home_team,away_team,home_team_score,away_team_score
DET,TB,2,1
CLE,CIN,6,1
PHI,CHC,4,10
PIT,MIL,2,7
WSH,KC,0,1
NYY,BAL,3,5
TOR,BOS,5,6
ATL,NYM,5,1
CWS,LAA,3,2
MIN,MIA,1,4
HOU,SEA,4,3
COL,STL,3,7
ARI,SF,0,11
OAK,TEX,5,4
LAD,SD,2,4
