home_team,away_team,home_team_score,away_team_score
TOR,HOU,7,9
PIT,SEA,2,3
TB,KC,5,12
MIA,TEX,6,4
DET,NYY,3,4
WSH,PHI,9,14
NYM,CHC,6,9
CIN,MIL,0,2
MIN,LAD,3,12
CWS,CLE,2,1
STL,ARI,3,4
COL,BOS,2,5
LAA,BAL,5,1
SD,ATL,7,6
SF,Athletics,3,1
