home_team,away_team,home_team_score,away_team_score
BAL,NYM,3,1
BAL,NYM,7,3
MIN,CHC,1,8
CIN,MIA,6,0
NYY,SEA,6,5
BOS,TB,4,3
STL,WSH,8,1
Athletics,ATL,5,4
LAA,TEX,4,11
SD,ARI,4,3
CWS,CLE,N/A,N/A
