home_team,away_team,home_team_score,away_team_score
PIT,CHC,0,4
WSH,ATL,3,11
TB,TOR,1,2
CWS,BAL,1,4
MIN,NYY,7,0
STL,CIN,6,11
HOU,TEX,6,3
ARI,SF,8,1
LAD,PHI,5,6
