home_team,away_team,home_team_score,away_team_score
NYY,MIL,20,9
CWS,LAA,0,1
STL,MIN,5,1
TOR,BAL,5,9
WSH,PHI,6,11
KC,CLE,4,3
CIN,SF,3,2
TB,COL,1,2
MIA,PIT,5,4
TEX,BOS,4,3
HOU,NYM,2,1
SD,ATL,1,0
ARI,CHC,3,4
LAD,DET,7,3
SEA,Athletics,2,4
