home_team,away_team,home_team_score,away_team_score
PIT,NYM,9,1
BAL,TB,22,8
NYY,Athletics,3,0
CIN,SD,8,1
CLE,STL,0,5
BOS,TOR,0,9
DET,MIN,1,4
ATL,PHI,0,13
CWS,SF,1,3
TEX,SEA,6,7
HOU,CHC,7,4
KC,LAD,4,5
MIL,COL,10,6
LAA,WSH,9,15
ARI,MIA,8,9
