home_team,away_team,home_team_score,away_team_score
NYY,NYM,2,3
CHC,CWS,7,3
TOR,DET,2,1
BAL,WSH,6,10
MIA,TB,0,4
PHI,PIT,5,2
CIN,CLE,4,1
TEX,HOU,5,1
KC,STL,0,1
BOS,ATL,7,6
MIL,MIN,0,7
ARI,COL,12,14
SD,SEA,1,4
SF,Athletics,1,0
LAD,LAA,9,11
