home_team,away_team,home_team_score,away_team_score
BAL,WSH,4,6
PIT,CIN,9,4
TOR,TEX,2,3
DET,HOU,5,7
CLE,SEA,6,5
TB,ARI,5,1
NYM,PHI,4,5
MIN,COL,3,2
CWS,KC,4,5
MIL,CHC,3,4
STL,MIA,2,1
LAA,Athletics,4,1
SF,ATL,3,2
SD,LAD,2,4
BOS,NYY,5,4
