home_team,away_team,home_team_score,away_team_score
DET,CWS,1,5
STL,SF,9,4
CHC,NYM,8,1
PIT,TB,4,3
TEX,KC,6,0
PHI,ARI,12,1
OAK,MIN,2,10
CIN,BOS,3,4
HOU,BAL,5,1
CLE,TOR,6,3
MIA,SEA,0,9
NYY,ATL,8,3
SD,MIL,6,0
COL,WSH,1,0
LAD,LAA,0,0
