home_team,away_team,home_team_score,away_team_score
CHC,MIL,6,4
CHC,MIL,4,1
DET,HOU,1,0
PIT,TOR,3,7
MIA,STL,4,7
WSH,NYM,1,8
PHI,SEA,6,4
BOS,BAL,3,4
ATL,CWS,11,10
TB,NYY,3,13
KC,TEX,5,2
MIN,Athletics,3,6
COL,LAD,4,11
LAA,CIN,4,6
ARI,CLE,6,5
SD,SF,5,1
