home_team,away_team,home_team_score,away_team_score
TOR,MIL,1,4
WSH,TB,1,4
BOS,PIT,3,10
NYM,MIA,8,11
PHI,ATL,3,2
CIN,STL,2,4
HOU,LAA,1,4
MIN,SD,3,12
CWS,NYY,3,5
KC,DET,3,1
CLE,SEA,4,3
SF,BAL,1,11
COL,CHC,3,4
LAD,ARI,1,6
Athletics,TEX,3,9
