home_team,away_team,home_team_score,away_team_score
BAL,NYY,1,3
PIT,DET,4,1
CLE,SF,8,1
CIN,STL,0,3
TB,TOR,5,10
PHI,MIA,6,4
BOS,ARI,9,4
NYM,SD,2,5
KC,Athletics,4,3
MIN,ATL,4,1
MIL,SEA,22,0
TEX,WSH,5,0
CHC,CWS,4,3
HOU,LAA,1,3
COL,LAD,6,7
