home_team,away_team,home_team_score,away_team_score
PIT,CIN,1,7
MIA,CHC,8,7
BOS,NYM,3,1
TB,HOU,3,4
MIN,CLE,N/A,N/A
CWS,SEA,1,5
MIL,BAL,5,4
STL,DET,11,4
COL,PHI,3,9
SF,KC,1,3
Athletics,LAA,3,4
LAD,ARI,5,9
