home_team,away_team,home_team_score,away_team_score
PIT,MIA,3,8
WSH,SEA,2,10
BAL,SD,7,3
CLE,DET,3,2
BOS,TEX,10,1
CIN,ARI,2,5
NYM,ATL,7,5
TOR,NYY,8,5
CWS,LAD,8,2
MIL,PHI,6,0
KC,HOU,8,10
MIN,STL,9,8
LAA,TB,4,3
Athletics,COL,6,4
SF,CHC,1,5
