home_team,away_team,home_team_score,away_team_score
BAL,TOR,8,9
DET,ARI,7,2
MIN,BOS,1,13
HOU,WSH,9,1
KC,ATL,1,0
CWS,PHI,9,3
MIL,CHC,3,10
SF,PIT,1,2
SD,NYM,5,0
CLE,COL,5,0
NYY,TB,5,4
CIN,LAD,5,2
STL,MIA,0,2
LAA,TEX,3,6
Athletics,SEA,5,4
