home_team,away_team,home_team_score,away_team_score
BOS,TOR,3,4
MIL,CLE,2,4
TEX,MIN,3,9
SEA,BAL,3,0
PHI,NYM,4,6
NYY,CWS,1,5
KC,STL,14,6
Athletics,LAA,5,0
ATL,SF,N/A,N/A
