home_team,away_team,home_team_score,away_team_score
DET,CLE,6,4
MIA,PIT,2,0
WSH,CHC,6,8
NYY,SEA,4,1
TOR,BOS,5,3
ATL,NYM,4,0
MIN,BAL,2,5
CWS,CIN,4,5
STL,PHI,2,0
LAA,TEX,3,2
ARI,COL,2,3
Athletics,TB,4,12
SD,MIL,11,2
SF,HOU,4,1
LAD,KC,5,4
