home_team,away_team,home_team_score,away_team_score
TB,DET,8,3
NYY,BAL,9,0
MIN,MIL,0,9
STL,CIN,6,5
CHC,SEA,10,7
TOR,CWS,7,1
SF,BOS,3,2
PIT,TEX,2,3
MIA,ATL,0,7
SD,KC,5,1
PHI,NYM,4,11
COL,ARI,3,5
LAA,HOU,9,1
Athletics,CLE,2,4
LAD,WSH,3,7
