home_team,away_team,home_team_score,away_team_score
PIT,STL,5,4
CLE,CWS,2,8
MIA,BOS,2,7
WSH,NYM,7,5
NYY,CIN,2,3
TOR,HOU,2,9
ATL,SF,3,1
TEX,SD,4,6
CHC,PHI,3,5
KC,TB,4,2
MIN,DET,2,9
COL,MIL,0,3
OAK,LAA,5,0
LAD,ARI,4,12
SEA,BAL,1,4
