home_team,away_team,home_team_score,away_team_score
BOS,DET,8,6
CLE,HOU,2,9
TB,CIN,1,6
MIA,STL,5,3
WSH,ATL,4,9
KC,BAL,5,7
CHC,PHI,5,1
COL,LAD,3,12
LAA,TOR,2,5
SEA,Athletics,4,6
